,property,units,n_points,value,PID,formula,polymername
2,Melting temp.,C,2,244.5,P390380,C14H8O5,poly[(trichloromethyl chloroformate)-alt-(4-hydroxyphenyl 4-hydroxybenzoate)]
1,Melting temp.,C,1,58.5,P390388,C24H36O4,"poly[(docosane-10,12-diyne-1,22-diol)-alt-(oxalyl chloride)]"
1,Melting temp.,C,1,58.5,P390389,C26H40O4,"poly[(docosane-10,12-diyne-1,22-diol)-alt-(succinyl dichloride)]"
1,Melting temp.,C,1,58.5,P390390,C28H44O4,"poly[(docosane-10,12-diyne-1,22-diol)-alt-(adipoyl chloride)]"
1,Melting temp.,C,1,58.5,P390391,C30H48O4,"poly[(docosane-10,12-diyne-1,22-diol)-alt-(octanedioyl dichloride)]"
1,Melting temp.,C,1,58.5,P390392,C32H52O4,"poly[(docosane-10,12-diyne-1,22-diol)-alt-(decanedioyl dichloride)]"
1,Glass transition temp.,C,1,139.0,P390393,C8H10O4,"poly[(1,4-cyclohexanediol dinitrite)-alt-(carbon monooxide)]"
1,Glass transition temp.,C,1,113.0,P390399,C32H36O6,"poly{(biphenyl-4,4'-diol)-alt-[2,5-bis(hexyloxy)terephthalic acid]}"
1,Glass transition temp.,C,1,266.0,P390400,C37H22F6N2O6,"poly({4,4'-[2,2,2-trifluoro-1-(trifluoromethyl)ethane-1,1-diyl]dianiline}-alt-[4,4'-(terephthaloyldioxy)dibenzoyl chloride])"
1,Glass transition temp.,C,1,227.0,P390401,C37H22F6N2O6,"poly({4,4'-[2,2,2-trifluoro-1-(trifluoromethyl)ethane-1,1-diyl]dianiline}-alt-[4,4'-(isophthaloyldioxy)dibenzoyl chloride])"
1,Glass transition temp.,C,1,213.0,P390402,C39H26F6N2O6,"poly({2,2'-dimethyl-4,4'-[2,2,2-trifluoro-1-(trifluoromethyl)ethane-1,1-diyl]dianiline}-alt-[4,4'-(terephthaloyldioxy)dibenzoyl chloride])"
1,Glass transition temp.,C,1,214.0,P390403,C39H26F6N2O6,"poly({2,2'-dimethyl-4,4'-[2,2,2-trifluoro-1-(trifluoromethyl)ethane-1,1-diyl]dianiline}-alt-[4,4'-(isophthaloyldioxy)dibenzoyl chloride])"
1,Glass transition temp.,C,1,265.0,P390404,C35H32O4,"poly{[4,4'-(1-methylethane-1,1-diyl)diphenol]-alt-(phenylindanedicarboxylic acid)}"
1,Glass transition temp.,C,1,322.0,P390405,C30H26O4,"poly(oxy-1,4-phenylenetricyclo[5.2.1.0^2,6^^]decane-8,8-diyl-1,4-phenyleneoxyterephthaloyl)"
1,Glass transition temp.,C,1,115.0,P390411,C23H14Br4O4,poly(tetrabromobisphenol A isophthalate)
1,Glass transition temp.,C,1,319.0,P390414,C28H12Br4O6,"poly[(3',3'',5',5''-tetrabromophenolphthalein)-alt-(terephthaloyl dichloride)]"
1,Glass transition temp.,C,1,60.0,P390415,C25H33N3O4S,"poly(oxyhexane-1,6-diylsulfonyl-1,4-phenylenediazenediyl-1,4-phenylenemethylimino-6-oxohexane-1,6-diyl)"
1,Glass transition temp.,C,1,92.0,P390416,C21H25N3O4S,"poly(oxypropane-1,3-diylsulfonyl-1,4-phenylenediazenediyl-1,4-phenylenebutylimino-2-oxoethylene)"
1,Melting temp.,C,1,142.0,P390417,C46H40O14,"poly({2,5-bis[(4-ethoxybenzoyl)oxy]hydroquinone}-alt-{bis[4-(chlorocarbonyl)phenyl] suberate})"
1,Melting temp.,C,1,128.0,P390418,C54H56O14,"poly({2,5-bis{[4-(pentyloxy)benzoyl]oxy}hydroquinone}-alt-{bis[4-(chlorocarbonyl)phenyl] sebacate})"
1,Melting temp.,C,1,175.0,P390419,C48H44O14,"poly({2,5-bis[(4-ethoxybenzoyl)oxy]hydroquinone}-alt-{bis[4-(chlorocarbonyl)phenyl] sebacate})"
1,Glass transition temp.,C,1,205.0,P390426,C41H28N2O5,"poly([2,5-bis(p-hydroxybenzylidene)cyclopentanone]-alt-{4,4'-[1,4-phenylene bis(methylidynenitrilo)]dibenzoyl chloride})"
2,Melting temp.,C,2,297.5,P390426,C41H28N2O5,"poly([2,5-bis(p-hydroxybenzylidene)cyclopentanone]-alt-{4,4'-[1,4-phenylene bis(methylidynenitrilo)]dibenzoyl chloride})"
1,Glass transition temp.,C,1,140.0,P390427,C43H32N2O7,"poly([2,5-bis(4-hydroxy-3-methoxybenzylidene)cyclopentanone]-alt-{4,4'-[1,4-phenylene bis(methylidynenitrilo)]dibenzoyl chloride})"
2,Melting temp.,C,2,210.0,P390427,C43H32N2O7,"poly([2,5-bis(4-hydroxy-3-methoxybenzylidene)cyclopentanone]-alt-{4,4'-[1,4-phenylene bis(methylidynenitrilo)]dibenzoyl chloride})"
